title,genres,cast,director,overview
Despicable Me,Family Comedy Animation Science Fiction Crime,Steve Carell Jason Segel Miranda Cosgrove,Chris Renaud,"Gru is a supervillain determined to prove he’s the greatest by stealing the Moon. To pull off his plan, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as part of his scheme. However, as Gru bonds with the girls, his cold, villainous exterior begins to melt."
The Emperor's New Groove,Adventure Animation Comedy Family Fantasy,David Spade John Goodman Eartha Kitt,Mark Dindal,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne and his human form with the help of Pacha, a gentle llama herder."
Shang-Chi and the Legend of the Ten Rings,Action Adventure Fantasy,Simu Liu Tony Leung Chiu-wai Awkwafina,Destin Daniel Cretton,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.
The Hunger Games: Sunrise on the Reaping,Science Fiction Action Adventure,Joseph Zada Mckenna Grace Jesse Plemons,Francis Lawrence,"Return to the world of Panem 24 years before the events of The Hunger Games, starting on the morning of the reaping of the 50th Hunger Games, also known as the Second Quarter Quell."
Monsters vs Aliens,Animation Family Adventure Science Fiction,Reese Witherspoon Seth Rogen Hugh Laurie,Rob Letterman,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
Rango,Animation Comedy Family Western Adventure,Johnny Depp Isla Fisher Ned Beatty,Gore Verbinski,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging Western town of Dirt, the theater-loving lizard suddenly finds himself the newly appointed sheriff. Welcomed as the last hope the town has been waiting for, Rango is forced to play his new role to the hilt and uncover the truth behind a looming water crisis—before his act catches up with him."
Scary Movie 2,Comedy,Anna Faris Regina Hall Marlon Wayans,Keenen Ivory Wayans,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue."
xXx: Return of Xander Cage,Action Adventure Crime,Vin Diesel Donnie Yen Ruby Rose,D.J. Caruso,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons."
Irreversible,Drama Thriller Crime,Monica Bellucci Vincent Cassel Albert Dupontel,Gaspar Noé,A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist. Because some acts can’t be undone. Because man is an animal. Because the desire for vengeance is a natural impulse. Because most crimes remain unpunished.
Kung Fu Hustle,Action Comedy Crime Fantasy,Stephen Chow Yuen Qiu Yuen Wah,Stephen Chow,"It's the 1940s, and the notorious Axe Gang terrorizes Shanghai. Small-time criminals Sing and Bone hope to join, but they only manage to make lots of very dangerous enemies. Fortunately for them, kung fu masters and hidden strength can be found in unlikely places. Now they just have to take on the entire Axe Gang."
Mortal Kombat,Action Fantasy Adventure,Lewis Tan Jessica McNamee Mehcad Brooks,Simon McQuoid,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe."
Sing 2,Animation Music Comedy Family,Matthew McConaughey Reese Witherspoon Scarlett Johansson,Garth Jennings,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage."
Ice Age: Dawn of the Dinosaurs,Animation Comedy Family Adventure,Ray Romano John Leguizamo Denis Leary,Carlos Saldanha,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs."
The Twilight Saga: New Moon,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner,Chris Weitz,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks."
Eat Pray Bark,Comedy,Alexandra Maria Lara Rúrik Gíslason Devid Striesow,Marco Petry,"In this tumultuous comedy, five eccentric dog owners seek help in dealing with their four-legged friends. Their last hope: an intensive course with the charismatic and legendary dog trainer Nodon in the Tyrolean mountains."
The Dog Stars,Adventure Science Fiction Thriller,Jacob Elordi Josh Brolin Margaret Qualley,Ridley Scott,"After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound."
Divergent,Action Adventure Science Fiction,Shailene Woodley Theo James Zoë Kravitz,Neil Burger,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
A Nightmare on Elm Street,Horror,John Saxon Ronee Blakley Heather Langenkamp,Wes Craven,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world..."
Anyone But You,Romance Comedy,Sydney Sweeney Glen Powell Mia Artemis,Will Gluck,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
Crush The Wicked,Action Crime,Pan Binlong Bao Bei'er Zhao Runnan,Cheng Siyi,A detective and a vengeful survivor hunt a fugitive serial killer who resurfaces to commit one last desperate crime.
Dolce... calda Lisa,Drama,Luigina Rocchi Francesco Parisi Mario Cutini,Adriano Tagliavia,"80's Italian sleaze with the luscious Claudia Rocchi, Italian porno regular Guia Lauri Filzi, and softcore actress Annj Goren.  The film is about Lisa, a young pretty wife stuck with an older husband who cannot satisfy her sexually nor in other ways.  She becomes bored with her everyday life and cheats on her husband sleeping with another older man.  Still not satisfied she hooks up with a rich man (Enzo Fisichella) who introduces her to a young stud (Mario Cutini) and his two lesbian playmates (Guia Lauri Filzi and Annj Goren). At the party Lisa is taken by the young man while the others watch. This seems to do the trick for Lisa. Her curiosity for the young man deepens and she wants to see him again. However, it turns out that he is a very rude partner instead of the gentle lover that she wanted.  Shot in Rome, Italy."
La huella del oro,Animation Action Drama,Mario Castañeda Milhem Cortaz Jakora Xochitl,Daniel Duche,
Underwater,Drama,Bryan Fitzgerald Valéry Lessard Monica Palmieri,Bryan Fitzgerald,"A susceptible teenager, in trying to escape the tumult of his home, drowns himself in alcohol, drugs, and parties. Based on a true story."
Grease,Romance Comedy,Olivia Newton-John John Travolta Stockard Channing,Randal Kleiser,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?"
The Devil's Advocate,Horror Drama Mystery,Keanu Reeves Al Pacino Charlize Theron,Taylor Hackford,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned."
Akira,Animation Science Fiction Action,Mitsuo Iwata Nozomu Sasaki Mami Koyama,Katsuhiro Otomo,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.
Primitive War,Action Horror War Science Fiction,Jeremy Piven Tricia Helfer Ryan Kwanten,Luke Sparke,"During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs."
